year,starts_at,ends_at,created_at,updated_at,categories
2013,2013-03-14 15:00:00+00,2013-03-16 14:59:59+00,2025-07-12 06:26:43.669281+00,2025-07-12 06:26:43.669281+00,"[1,4,5]"
2014,2014-02-27 15:00:00+00,2014-03-01 14:59:59+00,2025-07-12 06:26:43.669281+00,2025-07-12 06:26:43.669281+00,"[1,4,5]"
2015,2015-03-05 15:00:00+00,2015-03-07 14:59:59+00,2025-07-12 06:26:43.669281+00,2025-07-12 06:26:43.669281+00,"[1,4,5]"
2016,2016-03-03 15:00:00+00,2016-03-05 14:59:59+00,2025-07-12 06:26:43.669281+00,2025-07-12 06:26:43.669281+00,"[1,4,5]"
2017,2017-03-16 15:00:00+00,2017-03-18 14:59:59+00,2025-07-12 06:27:53.915072+00,2025-07-12 06:27:53.915072+00,"[1,4,5]"
2018,2018-03-01 15:00:00+00,2018-03-03 14:59:59+00,2025-07-12 06:27:53.915072+00,2025-07-12 06:27:53.915072+00,"[1,4,5]"
2019,2019-04-11 15:00:00+00,2019-04-14 14:59:59+00,2025-07-12 06:27:53.915072+00,2025-07-12 06:27:53.915072+00,"[1,4,5]"
2020,2020-04-04 15:00:00+00,2020-04-05 14:59:59+00,2025-07-12 06:27:53.915072+00,2025-07-12 06:27:53.915072+00,"[1,4]"
2021,2021-10-21 15:00:00+00,2021-10-24 14:59:59+00,2025-07-12 06:27:53.915072+00,2025-07-12 06:27:53.915072+00,"[1,3,4,5,6]"
2022,,,2025-07-12 06:27:53.915072+00,2025-07-12 06:27:53.915072+00,
2023,2023-10-18 05:00:00+00,2023-10-21 14:59:59+00,2025-07-12 05:33:35.760989+00,2025-07-12 05:33:35.760989+00,"[1,2,4,5,6,7]"
2024,2024-11-01 06:00:00+00,2024-11-03 14:59:59+00,2025-07-12 05:32:33.332849+00,2025-07-12 05:32:33.332849+00,"[1,2,4,5,6]"
2025,2025-10-31 06:00:00+00,2025-11-02 14:59:59+00,2025-07-12 05:30:04.6081+00,2025-07-12 05:30:04.6081+00,"[1,2,4,5,6]"
2026,,,2025-10-04 10:39:03.416568+00,2025-10-04 10:39:03.416568+00,"[1,4,5,6]"